,,,"York, Regional municipality [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","        Hmong-Mien languages",,       5,,       5,,       5,,     525,,     250,,     270,
"Mother tongue","        Indo-European languages",,  238555,,  114865,,  123685,, 2024365,,  980200,, 1044165,
"Mother tongue","          Albanian",,    1435,,     705,,     730,,   19045,,    9535,,    9510,
"Mother tongue","          Armenian",,    3435,,    1685,,    1750,,   15070,,    7305,,    7765,
"Mother tongue","          Balto-Slavic languages",,   52545,,   24580,,   27965,,  410725,,  188695,,  222025,
"Mother tongue","            Baltic languages",,     635,,     250,,     380,,    9080,,    3785,,    5295,
"Mother tongue","              Latvian",,     250,,      90,,     155,,    3910,,    1650,,    2260,
"Mother tongue","              Lithuanian",,     380,,     160,,     220,,    5175,,    2135,,    3035,
"Mother tongue","            Slavic languages",,   51915,,   24330,,   27585,,  401645,,  184915,,  216730,
"Mother tongue","              Belarusan",,     115,,      50,,      65,,     515,,     230,,     280,
"Mother tongue","              Bosnian",,     145,,      65,,      75,,    6370,,    3125,,    3245,
"Mother tongue","              Bulgarian",,     760,,     365,,     400,,    9095,,    4355,,    4740,
"Mother tongue","              Croatian",,    1155,,     545,,     610,,   31875,,   15460,,   16410,
"Mother tongue","              Czech",,     435,,     190,,     250,,   10670,,    4930,,    5740,
"Mother tongue","              Macedonian",,    2640,,    1255,,    1385,,   15635,,    7470,,    8165,
"Mother tongue","              Polish",,    4400,,    2005,,    2395,,  121075,,   54675,,   66405,
"Mother tongue","              Russian",,   37315,,   17570,,   19745,,  101100,,   45630,,   55470,
"Mother tongue","              Serbian",,    1545,,     780,,     765,,   41740,,   20585,,   21150,
"Mother tongue","              Serbo-Croatian",,     165,,      85,,      80,,    4875,,    2310,,    2570,
"Mother tongue","              Slovak",,     430,,     175,,     250,,   10280,,    4710,,    5565,
"Mother tongue","              Slovene (Slovenian)",,     455,,     210,,     245,,    6740,,    2995,,    3745,
"Mother tongue","              Ukrainian",,    2295,,    1000,,    1295,,   40375,,   17760,,   22610,
"Mother tongue","              Slavic languages; n.i.e.",,      65,,      30,,      35,,    1310,,     670,,     635,
"Mother tongue","          Celtic languages",,      45,,      25,,      25,,    1110,,     505,,     605,
"Mother tongue","            Scottish Gaelic",,      20,,      10,,       5,,     450,,     210,,     240,
"Mother tongue","            Welsh",,      25,,      15,,      10,,     435,,     180,,     260,
"Mother tongue","            Celtic languages; n.i.e.",,       5,,       0,,       5,,     225,,     120,,     110,
"Mother tongue","          Germanic languages",,    7865,,    3620,,    4250,,  200640,,   94475,,  106165,
"Mother tongue","            Afrikaans",,     165,,      75,,      90,,    2295,,    1125,,    1170,
"Mother tongue","            Danish",,     275,,     135,,     145,,    4265,,    2010,,    2250,
"Mother tongue","            Dutch",,    1455,,     685,,     770,,   51720,,   24875,,   26840,
"Mother tongue","            Frisian",,      20,,       5,,      10,,    1240,,     630,,     620,
"Mother tongue","            German",,    4750,,    2175,,    2575,,  131525,,   61520,,   70005,
"Mother tongue","            Icelandic",,      10,,       5,,      10,,     210,,     100,,     110,
"Mother tongue","            Norwegian",,      40,,      20,,      25,,     940,,     405,,     540,
"Mother tongue","            Swedish",,     140,,      55,,      80,,    2395,,    1040,,    1350,
"Mother tongue","            Vlaams (Flemish)",,      25,,      15,,      15,,    2150,,     925,,    1225,
"Mother tongue","            Yiddish",,     975,,     440,,     535,,    3735,,    1765,,    1970,
"Mother tongue","            Germanic languages; n.i.e.",,       5,,       0,,       5,,     170,,      80,,      85,
"Mother tongue","          Greek",,    7465,,    3630,,    3840,,   55415,,   27305,,   28110,
"Mother tongue","          Indo-Iranian languages",,   82575,,   40810,,   41770,,  707845,,  357350,,  350495,
"Mother tongue","            Indo-Aryan languages",,   43850,,   21545,,   22300,,  565600,,  285720,,  279875,
"Mother tongue","              Bengali",,    1585,,     815,,     770,,   46810,,   23615,,   23195,
"Mother tongue","              Gujarati",,    9475,,    4590,,    4875,,   76675,,   38740,,   37940,
"Mother tongue","              Hindi",,    5300,,    2580,,    2715,,   58735,,   29805,,   28930,
"Mother tongue","              Kashmiri",,      40,,      20,,      20,,     345,,     170,,     175,
