,,,"Ottawa, Census division [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","              Bosnian",,     600,,     275,,     330,,    6370,,    3125,,    3245,
"Mother tongue","              Bulgarian",,     850,,     395,,     455,,    9095,,    4355,,    4740,
"Mother tongue","              Croatian",,    1000,,     465,,     535,,   31875,,   15460,,   16410,
"Mother tongue","              Czech",,     915,,     405,,     505,,   10670,,    4930,,    5740,
"Mother tongue","              Macedonian",,      60,,      30,,      35,,   15635,,    7470,,    8165,
"Mother tongue","              Polish",,    5525,,    2485,,    3035,,  121075,,   54675,,   66405,
"Mother tongue","              Russian",,    6155,,    2680,,    3470,,  101100,,   45630,,   55470,
"Mother tongue","              Serbian",,    1705,,     815,,     890,,   41740,,   20585,,   21150,
"Mother tongue","              Serbo-Croatian",,     515,,     255,,     260,,    4875,,    2310,,    2570,
"Mother tongue","              Slovak",,     575,,     260,,     315,,   10280,,    4710,,    5565,
"Mother tongue","              Slovene (Slovenian)",,     210,,      85,,     120,,    6740,,    2995,,    3745,
"Mother tongue","              Ukrainian",,    1635,,     700,,     935,,   40375,,   17760,,   22610,
"Mother tongue","              Slavic languages; n.i.e.",,      40,,      20,,      15,,    1310,,     670,,     635,
"Mother tongue","          Celtic languages",,     115,,      55,,      60,,    1110,,     505,,     605,
"Mother tongue","            Scottish Gaelic",,      40,,      25,,      20,,     450,,     210,,     240,
"Mother tongue","            Welsh",,      50,,      20,,      35,,     435,,     180,,     260,
"Mother tongue","            Celtic languages; n.i.e.",,      15,,      10,,      10,,     225,,     120,,     110,
"Mother tongue","          Germanic languages",,    8680,,    3980,,    4700,,  200640,,   94475,,  106165,
"Mother tongue","            Afrikaans",,     160,,      75,,      80,,    2295,,    1125,,    1170,
"Mother tongue","            Danish",,     300,,     135,,     165,,    4265,,    2010,,    2250,
"Mother tongue","            Dutch",,    2215,,    1065,,    1155,,   51720,,   24875,,   26840,
"Mother tongue","            Frisian",,      35,,      15,,      20,,    1240,,     630,,     620,
"Mother tongue","            German",,    5275,,    2340,,    2935,,  131525,,   61520,,   70005,
"Mother tongue","            Icelandic",,      20,,       5,,      10,,     210,,     100,,     110,
"Mother tongue","            Norwegian",,     135,,      55,,      75,,     940,,     405,,     540,
"Mother tongue","            Swedish",,     275,,     145,,     135,,    2395,,    1040,,    1350,
"Mother tongue","            Vlaams (Flemish)",,      75,,      35,,      40,,    2150,,     925,,    1225,
"Mother tongue","            Yiddish",,     180,,     100,,      75,,    3735,,    1765,,    1970,
"Mother tongue","            Germanic languages; n.i.e.",,      15,,       5,,      10,,     170,,      80,,      85,
